"","Player","Position","DOB","Caps","Club"
"1","Huw Bennett","Hooker","(1983-06-11)11 June 1983 (aged 25)",18,"Ospreys"
"2","Matthew Rees","Hooker","(1980-12-09)9 December 1980 (aged 28)",25,"Scarlets"
"3","Gethin Jenkins","Prop","(1980-11-17)17 November 1980 (aged 28)",63,"Cardiff Blues"
"4","Adam Jones","Prop","(1981-03-08)8 March 1981 (aged 27)",52,"Ospreys"
"5","Rhys Thomas","Prop","(1982-07-31)31 July 1982 (aged 26)",6,"Newport Gwent Dragons"
"6","John Yapp","Prop","(1983-04-09)9 April 1983 (aged 25)",10,"Cardiff Blues"
"7","Luke Charteris","Lock","(1983-03-09)9 March 1983 (aged 25)",6,"Newport Gwent Dragons"
"8","Bradley Davies","Lock","(1987-01-09)9 January 1987 (aged 22)",0,"Cardiff Blues"
"9","Ian Gough","Lock","(1976-11-10)10 November 1976 (aged 32)",55,"Ospreys"
"10","Alun Wyn Jones","Lock","(1985-09-19)19 September 1985 (aged 23)",21,"Ospreys"
"11","Dafydd Jones","Flanker","(1979-06-24)24 June 1979 (aged 29)",34,"Scarlets"
"12","Robin Sowden-Taylor","Flanker","(1982-06-09)9 June 1982 (aged 26)",6,"Cardiff Blues"
"13","Jonathan Thomas","Flanker","(1982-12-27)27 December 1982 (aged 26)",46,"Ospreys"
"14","Martyn Williams","Flanker","(1975-09-01)1 September 1975 (aged 33)",84,"Cardiff Blues"
"15","Ryan Jones (c)","Number 8","(1981-03-13)13 March 1981 (aged 27)",27,"Ospreys"
"16","Andy Powell","Number 8","(1981-08-23)23 August 1981 (aged 27)",2,"Cardiff Blues"
"17","Gareth Cooper","Scrum-half","(1979-05-07)7 May 1979 (aged 29)",40,"Gloucester"
"18","Warren Fury","Scrum-half","(1985-12-10)10 December 1985 (aged 23)",2,"London Irish"
"19","Dwayne Peel","Scrum-half","(1981-08-31)31 August 1981 (aged 27)",64,"Sale Sharks"
"20","Mike Phillips","Scrum-half","(1982-08-29)29 August 1982 (aged 26)",33,"Ospreys"
"21","James Hook","Fly-half","(1985-06-27)27 June 1985 (aged 23)",30,"Ospreys"
"22","Stephen Jones","Fly-half","(1977-12-08)8 December 1977 (aged 31)",75,"Scarlets"
"23","Andrew Bishop","Centre","(1985-08-07)7 August 1985 (aged 23)",3,"Ospreys"
"24","Gavin Henson","Centre","(1982-02-01)1 February 1982 (aged 27)",28,"Ospreys"
"25","Jamie Roberts","Centre","(1986-11-08)8 November 1986 (aged 22)",7,"Cardiff Blues"
"26","Tom Shanklin","Centre","(1979-11-24)24 November 1979 (aged 29)",58,"Cardiff Blues"
"27","Leigh Halfpenny","Wing","(1988-12-22)22 December 1988 (aged 20)",3,"Cardiff Blues"
"28","Mark Jones","Wing","(1979-11-07)7 November 1979 (aged 29)",43,"Scarlets"
"29","Shane Williams","Wing","(1977-02-26)26 February 1977 (aged 31)",61,"Ospreys"
"30","Lee Byrne","Fullback","(1980-06-01)1 June 1980 (aged 28)",22,"Ospreys"
